occasion,christmas,yule,25th December,,,,
occasion,independence day,,,,,,
occasion,holidays,,,,,,
time,hours,operation,,,,,
futurebranches,future,branch,location,,,,
prerequisites,prerequisites,know anything,knowledge,required,before,qualification,
tools,tools,technologies,language,,,,
apache,apache,flume,,,,,
bigdata,big data,bigdata,,,,,
hive,hive,,,,,,
hivesql,hive ,sql,,,,,
hadoop,hadoop,,,,,,
scala,scala,,,,,,
similar,similar,scala,python,,,,
spark,spark,apache,,,,,
salary,salary,,,,,,
dscourse,circullum,course,content,teach,learn,,
dslanguage,python,R,java,language,,,
dsconfiguration,configuration,computer,laptop,powerful,articles,,
dsspend,spend,study,prepare,time,effort,,
dsblogs,blogs,follow,,,,,
dsskills,skills,prerequisite,required,,,,
dsalary,salary,pay,carrer,,,,
dsdatasets,datasets,practise,practice,,,,
dsds,definition,explain,professional do,model,model building,what is data science,define
dsml,machine,learning,machine learning,ml,deep learning,dl,ai
